ID,Fwy,Lat,Lng
1118735,I5-N,32.630551000000004,-117.096241
1118450,I5-N,32.640259,-117.100052
1114190,I5-N,32.658963,-117.107386
1123331,I5-N,32.670525,-117.111203
1118479,I5-N,32.673051,-117.110394
1114205,I5-N,32.686187,-117.11275
1125469,I5-N,32.688981,-117.115932
1125472,I5-N,32.688981,-117.115932
1114211,I5-N,32.694337,-117.124759
1122515,I5-N,32.69457,-117.130324
1117762,I5-N,32.694578,-117.12946200000002
1114219,I5-N,32.694337,-117.124759
1117782,I5-N,32.706202000000005,-117.147449
1117796,I5-N,32.712585,-117.147532
1117809,I5-N,32.717974,-117.147607
1120367,I5-N,32.717974,-117.147607
1117748,I5-N,32.723971,-117.150962
1113976,I5-N,32.724117,-117.156091
1117741,I5-N,32.723871,-117.164331
1113481,I5-N,32.72817,-117.168445
1108603,I5-N,32.72817,-117.168445
1108604,I5-N,32.72817,-117.168445
1117835,I5-N,32.731968,-117.171694
1118078,I5-N,32.735429,-117.174785
1117717,I5-N,32.735914,-117.175223
1108611,I5-N,32.742189,-117.181604
1108612,I5-N,32.742189,-117.181604
1108613,I5-N,32.743821000000004,-117.185125
1108614,I5-N,32.743821000000004,-117.185125
1114050,I5-N,32.746559999999995,-117.190927
1108617,I5-N,32.750204,-117.196172
1108618,I5-N,32.750204,-117.196172
1122434,I5-N,32.750068,-117.196046
1118496,I5-N,32.768302,-117.206075
1122588,I5-N,32.76833,-117.206083
1126405,I5-N,32.770668,-117.206677
1126411,I5-N,32.770668,-117.206677
1127195,I5-N,32.770668,-117.206677
1114805,I5-N,32.779349,-117.208332
1114037,I5-N,32.786214,-117.20713
1114035,I5-N,32.786214,-117.20713
1108547,I5-N,32.792508000000005,-117.207356
1100313,I5-N,32.788206,-117.20689
1108548,I5-N,32.792508000000005,-117.207356
1118707,I5-N,32.797132,-117.209541
1122814,I5-N,32.797157,-117.209556
1118521,I5-N,32.807939000000005,-117.21658899999998
1108666,I5-N,32.815089,-117.222158
1108665,I5-N,32.815089,-117.222158
1119637,I5-N,32.834969,-117.233294
1120370,I5-N,32.835512,-117.233527
1122594,I5-N,32.837787,-117.234529
1118537,I5-N,32.848758000000004,-117.235323
1114296,I5-N,32.855148,-117.231251
1118544,I5-N,32.86451,-117.22973600000002
1108719,I5-N,32.871703000000004,-117.229123
1108720,I5-N,32.871703000000004,-117.229123
1113468,I5-N,32.871703000000004,-117.229123
1122536,I5-N,32.911982,-117.228523
1118170,I5-N,32.918784,-117.235428
1120723,I5-N,32.918784,-117.235428
1120724,I5-N,32.918784,-117.235428
1122553,I5-N,32.918909,-117.235565
1122552,I5-N,32.918909,-117.235565
1122575,I5-N,32.925983,-117.23942
1122576,I5-N,32.925983,-117.23942
1119822,I5-N,32.931143,-117.240825
1108438,I5-N,32.935788,-117.241314
1108437,I5-N,32.935788,-117.241314
1113514,I5-N,32.935788,-117.241314
1115277,I5-N,32.930695,-117.240733
1108436,I5-N,32.935788,-117.241314
1119828,I5-N,32.943477,-117.242328
1120104,I5-N,32.943506,-117.242333
1120107,I5-N,32.943535,-117.242339
1108507,I5-N,32.952314,-117.243976
1100323,I5-N,32.947765999999994,-117.243147
1108508,I5-N,32.952314,-117.243976
1119679,I5-N,32.962322,-117.246309
1120385,I5-N,32.962336,-117.24631399999998
1119850,I5-N,32.969013000000004,-117.248831
1120394,I5-N,32.969027000000004,-117.248836
1100326,I5-N,32.97674,-117.251751
1108510,I5-N,32.979329,-117.252709
1122734,I5-N,32.979357,-117.252719
1108509,I5-N,32.979329,-117.252709
1108511,I5-N,32.982996,-117.254105
1126614,I5-N,32.987715,-117.255119
1100330,I5-N,32.993716,-117.256045
1120694,I5-N,32.995523,-117.256356
1120732,I5-N,32.994634999999995,-117.256182
1114240,I5-S,32.65888,-117.10767
1118465,I5-S,32.671747,-117.11123700000002
1118472,I5-S,32.67696,-117.109463
1114254,I5-S,32.685989,-117.11306299999998
1118076,I5-S,32.68395,-117.111888
1126864,I5-S,32.694108,-117.124841
1117755,I5-S,32.694358,-117.129467
1114268,I5-S,32.694104,-117.124824
1117774,I5-S,32.7062,-117.147722
1117789,I5-S,32.712581,-117.147751
1122517,I5-S,32.712610999999995,-117.147752
1117810,I5-S,32.717944,-117.147838
1120743,I5-S,32.71803,-117.147847
1117683,I5-S,32.723795,-117.151061
1113977,I5-S,32.723901,-117.156051
1108417,I5-S,32.723849,-117.156302
1108418,I5-S,32.723849,-117.156302
1117734,I5-S,32.725605,-117.166389
1108605,I5-S,32.731171999999994,-117.17131299999998
