ID,Fwy,Lat,Lng
1114091,I5-N,32.542842,-117.030331
1118333,I5-N,32.543777,-117.031517
1118348,I5-N,32.557644,-117.059898
1114720,I5-N,32.561334,-117.067081
1118352,I5-N,32.566146999999994,-117.074193
1118743,I5-N,32.577095,-117.08287800000001
1123135,I5-N,32.595086,-117.08863799999999
1123133,I5-N,32.595101,-117.08863999999998
1120362,I5-N,32.604051,-117.08976299999999
1118796,I5-N,32.613851000000004,-117.09091799999999
1118735,I5-N,32.630551000000004,-117.09624099999999
1118450,I5-N,32.640259,-117.100052
1114190,I5-N,32.658963,-117.107386
1123331,I5-N,32.670525,-117.111203
1118479,I5-N,32.673051,-117.110394
1114205,I5-N,32.686187,-117.11275
1125469,I5-N,32.688981,-117.115932
1125472,I5-N,32.688981,-117.115932
1114211,I5-N,32.694337,-117.12475900000001
1122515,I5-N,32.69457,-117.130324
1117762,I5-N,32.694578,-117.12946200000002
1114219,I5-N,32.694337,-117.12475900000001
1117782,I5-N,32.706202000000005,-117.147449
1117796,I5-N,32.712585,-117.14753200000001
1117809,I5-N,32.717974,-117.14760700000001
1120367,I5-N,32.717974,-117.14760700000001
1117748,I5-N,32.723971,-117.150962
1113976,I5-N,32.724117,-117.15609099999999
1117741,I5-N,32.723871,-117.164331
1113481,I5-N,32.72817,-117.16844499999999
1108603,I5-N,32.72817,-117.16844499999999
1108604,I5-N,32.72817,-117.16844499999999
1117835,I5-N,32.731968,-117.17169399999999
1118078,I5-N,32.735428999999996,-117.17478500000001
1117717,I5-N,32.735914,-117.175223
1108611,I5-N,32.742189,-117.18160400000001
1108612,I5-N,32.742189,-117.18160400000001
1108613,I5-N,32.743821000000004,-117.185125
1108614,I5-N,32.743821000000004,-117.185125
1114050,I5-N,32.746559999999995,-117.190927
1108617,I5-N,32.750204,-117.196172
1108618,I5-N,32.750204,-117.196172
1122434,I5-N,32.750068,-117.196046
1118496,I5-N,32.768302,-117.206075
1122588,I5-N,32.76833,-117.206083
1126405,I5-N,32.770668,-117.206677
1126411,I5-N,32.770668,-117.206677
1127195,I5-N,32.770668,-117.206677
1114805,I5-N,32.779348999999996,-117.20833200000001
1114037,I5-N,32.786214,-117.20713
1114035,I5-N,32.786214,-117.20713
1108547,I5-N,32.792508000000005,-117.207356
