Lat,Lng
32.542842,-117.030331
32.543777,-117.031517
32.557644,-117.059898
32.561334,-117.067081
32.566146999999994,-117.074193
32.577095,-117.082878
32.595086,-117.088638
32.595101,-117.08863999999998
32.604051,-117.089763
32.613851000000004,-117.090918
32.630551000000004,-117.096241
32.640259,-117.100052
32.658963,-117.107386
32.670525,-117.111203
32.673051,-117.110394
32.686187,-117.11275
32.688981,-117.115932
32.688981,-117.115932
32.694337,-117.124759
32.69457,-117.130324
32.694578,-117.12946200000002
32.694337,-117.124759
32.706202000000005,-117.147449
32.712585,-117.147532
32.717974,-117.147607
32.717974,-117.147607
32.723971,-117.150962
32.724117,-117.156091
32.723871,-117.164331
32.72817,-117.168445
32.72817,-117.168445
32.72817,-117.168445
32.731968,-117.171694
32.735429,-117.174785
32.735914,-117.175223
32.742189,-117.181604
32.742189,-117.181604
32.743821000000004,-117.185125
32.743821000000004,-117.185125
32.746559999999995,-117.190927
32.750204,-117.196172
32.750204,-117.196172
32.750068,-117.196046
32.768302,-117.206075
32.76833,-117.206083
32.770668,-117.206677
32.770668,-117.206677
32.770668,-117.206677
32.779349,-117.208332
32.786214,-117.20713
32.786214,-117.20713
32.792508000000005,-117.207356
32.788206,-117.20689
32.792508000000005,-117.207356
32.797132,-117.209541
32.797157,-117.209556
32.807939000000005,-117.21658899999998
32.815089,-117.222158
32.815089,-117.222158
32.834969,-117.233294
32.835512,-117.233527
32.837787,-117.234529
32.848758000000004,-117.235323
32.855148,-117.231251
32.86451,-117.22973600000002
32.871703000000004,-117.229123
32.871703000000004,-117.229123
32.871703000000004,-117.229123
32.911982,-117.228523
32.918784,-117.235428
32.918784,-117.235428
32.918784,-117.235428
32.918909,-117.235565
32.918909,-117.235565
32.925983,-117.23942
32.925983,-117.23942
32.931143,-117.240825
32.935788,-117.241314
32.935788,-117.241314
32.935788,-117.241314
32.930695,-117.240733
32.935788,-117.241314
32.943477,-117.242328
32.943506,-117.242333
32.943535,-117.242339
32.952314,-117.243976
32.947765999999994,-117.243147
32.952314,-117.243976
32.962322,-117.246309
32.962336,-117.24631399999998
32.969013000000004,-117.248831
32.969027000000004,-117.248836
32.97674,-117.251751
32.979329,-117.252709
32.979357,-117.252719
32.979329,-117.252709
32.982996,-117.254105
32.987715,-117.255119
32.993716,-117.256045
32.997569,-117.25673
32.997569,-117.25673
32.995523,-117.256356
32.994634999999995,-117.256182
33.00551,-117.25907
33.005523,-117.259079
33.010571,-117.26477
33.017612,-117.27184
33.027309,-117.275242
33.027309,-117.275242
33.027309,-117.275242
33.037208,-117.281927
33.037208,-117.281927
33.037208,-117.281927
33.048098,-117.286976
33.048098,-117.286976
33.048098,-117.286976
33.055577,-117.289125
33.066891,-117.292681
33.066891,-117.292681
33.066891,-117.292681
33.073419,-117.294587
33.086077,-117.299048
33.086077,-117.299048
33.086077,-117.299048
33.09232,-117.303146
33.105403,-117.311607
33.105403,-117.311607
33.105403,-117.311607
33.115949,-117.31811
33.123940000000005,-117.32296
33.11957,-117.320309
33.123940000000005,-117.32296
33.136599,-117.330302
33.136599,-117.330302
33.136599,-117.330302
33.142807,-117.333209
33.155404,-117.338099
33.167741,-117.344387
33.167741,-117.344387
33.173355,-117.348324
33.17338,-117.348343
33.179859,-117.353416
33.191415,-117.363042
33.200816,-117.373244
33.203683000000005,-117.381192
33.268349,-117.436582
33.224874,-117.393754
33.236554,-117.40592
33.246111,-117.417364
33.25805,-117.426272
33.281566999999995,-117.449193
33.303917,-117.470642
33.363,-117.540497
33.383518,-117.577735
33.393542,-117.591561
33.393542,-117.591561
32.542721,-117.030485
32.543587,-117.031769
32.558422,-117.06236
32.561106,-117.067228
32.562859,-117.069998
32.576983,-117.083123
32.586324,-117.087376
32.59565300000001,-117.088997
32.59507,-117.088901
32.613849,-117.091173
32.621946,-117.093171
32.630458000000004,-117.096492
32.65888,-117.10767
32.671747,-117.11123700000002
32.67696,-117.109463
32.685989,-117.11306299999998
32.68395,-117.111888
32.694108,-117.124841
32.694358,-117.129467
32.694104,-117.124824
32.7062,-117.147722
32.712581,-117.147751
32.712610999999995,-117.147752
32.717944,-117.147838
32.71803,-117.147847
32.723795,-117.151061
32.723901,-117.156051
32.723849,-117.156302
32.723849,-117.156302
32.725605,-117.166389
32.731171999999994,-117.17131299999998
32.731171999999994,-117.17131299999998
32.735387,-117.175064
32.735815,-117.175452
32.740771,-117.179757
32.740771,-117.179757
32.743125,-117.184141
32.74683,-117.191991
32.748777000000004,-117.195062
32.74683,-117.191991
32.749347,-117.195726
32.768531,-117.206423
32.768531,-117.206423
32.779286,-117.2086
32.791267,-117.207352
32.786195,-117.207405
32.786195,-117.207405
32.789257,-117.207153
32.797079,-117.209814
32.797079,-117.209814
